,date,price
1235,2019-12-19,157.46164901664147
1236,2019-12-20,153.13126984126984
1237,2019-12-21,149.84758800521513
1238,2019-12-22,148.25186335403725
1239,2019-12-23,147.59712
1240,2019-12-24,144.8966796875
1241,2019-12-25,142.14247910863511
1242,2019-12-26,139.81617647058823
1243,2019-12-27,139.7672106824926
1244,2019-12-28,138.60752089136489
1245,2019-12-29,137.76180758017495
1246,2019-12-30,139.52918454935622
1247,2019-12-31,139.66000000000003
1248,2020-01-01,138.52021857923498
1249,2020-01-02,138.3466666666667
1250,2020-01-03,139.00023696682464
1251,2020-01-04,134.90945945945947
1252,2020-01-05,135.4960396039604
1253,2020-01-06,142.8437853107345
1254,2020-01-07,145.67171314741034
1255,2020-01-08,148.16962025316457
1256,2020-01-09,153.18701298701302
1257,2020-01-10,152.51226765799257
1258,2020-01-11,159.2394366197183
1259,2020-01-12,151.83532338308459
1260,2020-01-13,156.00087209302328
1261,2020-01-14,159.17539149888145
1262,2020-01-15,160.83003472222222
1263,2020-01-16,161.3482962962963
1264,2020-01-17,157.63003144654087
1265,2020-01-18,154.96603773584906
1266,2020-01-19,155.4893095768374
1267,2020-01-20,153.30736377025036
1268,2020-01-21,153.25278372591006
1269,2020-01-22,150.46867647058824
1270,2020-01-23,146.72213181448333
1271,2020-01-24,144.45167253521126
1272,2020-01-25,140.43935309973045
1273,2020-01-26,138.0922800718133
1274,2020-01-27,139.16844919786095
1275,2020-01-28,140.23991031390133
1276,2020-01-29,138.78326530612244
1277,2020-01-30,135.73769230769233
1278,2020-01-31,133.96642424242424
1279,2020-02-01,134.83242574257426
1280,2020-02-02,132.17678571428573
1281,2020-02-03,138.95216346153845
1282,2020-02-04,139.97886597938145
1283,2020-02-05,141.11149425287357
1284,2020-02-06,143.834
1285,2020-02-07,142.01029411764708
1286,2020-02-08,135.99569377990431
1287,2020-02-09,138.4717391304348
1288,2020-02-10,141.56339869281047
1289,2020-02-11,150.0450928381963
1290,2020-02-12,147.29561243144423
1291,2020-02-13,154.49678638941398
1292,2020-02-14,156.56903703703705
1293,2020-02-15,157.18198051948053
1294,2020-02-16,156.86827094474154
1295,2020-02-17,154.96026637069923
1296,2020-02-18,155.51017441860466
1297,2020-02-19,152.99176029962547
1298,2020-02-20,149.75721476510068
1299,2020-02-21,146.9208773354996
1300,2020-02-22,142.33344481605351
1301,2020-02-23,139.44044943820225
1302,2020-02-24,139.44461028192373
1303,2020-02-25,138.2383783783784
1304,2020-02-26,135.7046210720887
1305,2020-02-27,134.9734463276836
1306,2020-02-28,132.140368852459
1307,2020-02-29,132.01241379310346
1308,2020-03-01,129.6548780487805
1309,2020-03-02,131.23333333333332
1310,2020-03-03,128.35326704545454
1311,2020-03-04,127.73682008368202
1312,2020-03-05,128.8858168761221
1313,2020-03-06,130.5262114537445
1314,2020-03-07,130.2945945945946
1315,2020-03-08,126.6945147679325
1316,2020-03-09,134.68185745140389
1317,2020-03-10,126.90425257731958
1318,2020-03-11,127.42749287749288
1319,2020-03-12,130.2889667250438
1320,2020-03-13,130.19503875968994
1321,2020-03-14,128.07272727272726
1322,2020-03-15,127.25813953488371
1323,2020-03-16,137.32746835443038
1324,2020-03-17,139.5074607329843
1325,2020-03-18,141.54316069057106
1326,2020-03-19,144.2677456647399
1327,2020-03-20,143.99382273948075
1328,2020-03-21,139.18815789473683
1329,2020-03-22,139.48134991119005
1330,2020-03-23,137.2703313253012
1331,2020-03-24,136.1684764991896
1332,2020-03-25,130.4569636135508
1333,2020-03-26,127.6897175141243
1334,2020-03-27,126.18284854563692
1335,2020-03-28,120.9243664717349
1336,2020-03-29,119.6614657210402
1337,2020-03-30,121.06750841750842
1338,2020-03-31,119.9991208791209
1339,2020-04-01,120.12531847133758
1340,2020-04-02,118.97907348242813
1341,2020-04-03,117.18841269841269
1342,2020-04-04,115.71063218390806
1343,2020-04-05,115.11259541984732
1344,2020-04-06,115.07451403887688
1345,2020-04-07,114.53228228228228
1346,2020-04-08,112.75780669144982
1347,2020-04-09,111.6469104665826
1348,2020-04-10,109.2677494199536
1349,2020-04-11,108.56269841269842
1350,2020-04-12,106.72815789473685
1351,2020-04-13,105.88920308483291
1352,2020-04-14,106.13822055137845
1353,2020-04-15,104.74428191489362
1354,2020-04-16,104.48274021352314
1355,2020-04-17,105.49133574007222
1356,2020-04-18,104.58102678571429
1357,2020-04-19,101.90355987055017
1358,2020-04-20,102.13732809430256
1359,2020-04-21,102.28457374830853
1360,2020-04-22,100.73782201405153
1361,2020-04-23,100.29066427289048
1362,2020-04-24,98.22603833865814
1363,2020-04-25,97.73402061855671
1364,2020-04-26,94.59359430604984
1365,2020-04-27,99.25980707395499
1366,2020-04-28,101.90093457943925
1367,2020-04-29,97.2077380952381
1368,2020-04-30,96.85159235668792
1369,2020-05-01,98.24394904458599
1370,2020-05-02,93.87919463087249
1371,2020-05-03,99.01150442477876
